# PSC, Per-sample counts. Note that the ref/het/hom counts include only SNPs, for indels see PSI. The rest include both SNPs and indels.
# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing
PSC	0	biomap_LH59	80663510	10312568	7553947	12783130	4699009	1738309	11.3	294607	0	0	20657315
PSC	0	biomap_LH74	104111328	3193724	3463269	4786959	1717241	648313	17.1	112223	0	0	9548919
PSC	0	biomap_LH82	82724156	10024629	7783172	12768072	4654073	1718942	14.5	322099	0	0	18675283
PSC	0	biomap_LH85	85346951	10472691	8691585	13649470	5109183	1818959	28.2	644421	0	0	14594278
PSC	0	biomap_LH93	86216858	10383332	9293943	14054764	5207228	1835325	33.2	799120	0	0	13194784
PSC	0	biomap_Mo17	85568683	10201504	8774842	13540121	5032620	1802414	28.5	224418	0	0	14578515
PSC	0	biomap_Mo44	85239389	9314181	6577974	11265842	4284153	1595372	16.9	411663	0	0	18200399
PSC	0	biomap_Mo45	85768417	10414903	8980096	13836427	5149495	1815897	30.9	938066	0	0	13946119
PSC	0	biomap_MoG	84344436	10490101	8347799	13441184	4995209	1797786	24.1	905726	0	0	15942642
PSC	0	biomap_NC230	86557739	10042285	8274010	13055986	4866862	1766083	28.8	926086	0	0	14283213
PSC	0	biomap_NKH8431	94288334	7068534	5995993	9305714	3470027	1271708	31.2	326479	0	0	12316879
PSC	0	biomap_NP899	82424015	9911734	7569127	12518810	4582685	1703780	13.6	232823	0	0	19318798
PSC	0	biomap_Oh43	86414500	10107319	8619072	13359424	4962191	1791971	30.9	319084	0	0	13991974
PSC	0	biomap_PH207	87916127	9188937	8534099	12606457	4734846	1713851	28.9	154517	0	0	13575168
PSC	0	biomap_PHAA0	84117056	9391395	7746945	12281309	4486435	1667659	14.6	305685	0	0	18005010
PSC	0	biomap_PHB47	89204404	8991586	7610676	11833699	4417048	1564919	29.6	448205	0	0	13561852
PSC	0	biomap_PHG29	86859461	9876167	8516590	13132466	4863779	1752954	31.2	268309	0	0	13922938
PSC	0	biomap_PHG35	87117541	9386889	9569744	13543880	5010331	1832514	30.8	268080	0	0	13020993
PSC	0	biomap_PHG39	89443484	8944568	7748364	11906737	4428509	1576474	31.6	244142	0	0	13220520
PSC	0	biomap_PHG47	86399282	10007893	8821416	13448966	4973161	1793554	31.5	306110	0	0	13903440
PSC	0	biomap_PHG50	85985688	10019293	8328526	13048296	4910017	1758995	28.2	285410	0	0	14834639
PSC	0	biomap_PHG72	92245364	7385045	10444065	12728451	4716350	1753516	32.5	185676	0	0	9103990
PSC	0	biomap_PHG83	113181058	1361737	1747455	2199671	842526	291092	31.6	59173	0	0	4401382
PSC	0	biomap_PHJ40	87773689	9566304	8326003	12774412	4731985	1708204	32.7	318065	0	0	13553729
PSC	0	biomap_PHJ89	81797511	9949743	7742084	12652737	4659652	1723971	13.1	256774	0	0	19713019
PSC	0	biomap_PHK46	81760160	10038034	7341618	12436991	4568445	1694964	11.7	444981	0	0	20090573
PSC	0	biomap_PHK56	81267828	10250191	7996526	13064432	4789805	1770382	13.4	240259	0	0	19640944
PSC	0	biomap_PHK76	82196038	10318806	7914758	13062055	4778997	1762651	14.7	340339	0	0	18732423
PSC	0	biomap_PHKM5	82797150	9207151	6069049	10900164	4040694	1542479	9.2	708221	0	0	21311608
PSC	0	biomap_PHMK0	87360662	8155071	6345624	10402705	3776776	1424439	14.0	468889	0	0	17647973
PSC	0	biomap_PHN11	86650136	9764426	8494272	13017190	4851366	1740339	29.1	183566	0	0	14279738
PSC	0	biomap_PHN46	81397719	10471202	7784930	13076478	4784855	1768224	14.0	340891	0	0	19503072
PSC	0	biomap_PHP02	83310741	9656132	7687384	12435683	4531094	1685033	14.2	237802	0	0	18588725
PSC	0	biomap_PHP38	88046794	7973167	6359519	10272552	3752315	1367814	13.8	182467	0	0	17192251
PSC	0	biomap_PHR03	81991203	9732351	7445578	12296792	4507479	1693049	11.1	277643	0	0	20064217
PSC	0	biomap_PHT11	92104661	6608286	5850998	8937701	3253526	1165133	15.1	232862	0	0	15217629
PSC	0	biomap_PHV78	81773245	10221976	7600674	12769540	4668820	1724621	13.6	274311	0	0	19605711
PSC	0	biomap_PHW52	94425631	5872220	5091322	7860190	2861742	1054060	13.5	132744	0	0	14506418
PSC	0	biomap_PHW65	85544222	10219307	8769853	13541620	5041065	1810400	28.2	256829	0	0	14582232
PSC	0	biomap_SCRO1	85971305	9402450	7754046	12204736	4580199	1689971	22.9	196114	0	0	16109555
PSC	0	biomap_W182Ngt	86181082	9418984	7510633	12048051	4512523	1672352	23.4	600341	0	0	16142317
PSC	0	biomap_W37A	81816419	10414806	8027546	13206720	4838490	1769512	14.4	749665	0	0	18894948
PSC	0	biomap_W604S	86919141	9774718	8194250	12803690	4777365	1739753	28.2	669666	0	0	14296577
PSC	0	biomap_W605S	85151306	10434935	9037795	13883759	5170469	1867943	28.8	745455	0	0	14431211
PSC	0	biomap_W606S	82308925	9610552	7077958	11937566	4383900	1658653	11.4	266666	0	0	20270664
PSC	0	hmp2_B73-1	79441433	9543	30109	26588	12348	4497	1.4	3571	0	0	41509225
PSC	0	hmp2_CAUMO17	61687108	5085233	1300816	4321107	1934460	779114	2.7	79746	0	0	52106777
PSC	0	hmp2_MO17	50088231	3209116	625082	2637122	1127770	423833	1.2	23270	0	0	66628175
PSC	0	hmp2_W22	61459367	4503202	1202444	3905154	1681627	672848	2.0	40546	0	0	53123795
PSC	0	hmp3_B73	75978015	79948	53324	86070	43247	38828	1.5	50528	0	0	44844160
PSC	0	hmp3_LH145	30137308	645249	61836	493761	203370	64995	0.4	2205	0	0	90082673
PSC	0	hmp3_LH156	44830495	2199299	340870	1794017	706149	241603	0.8	11750	0	0	73371728
PSC	0	hmp3_LH59	31479946	1128280	131273	897516	343610	112343	0.5	6299	0	0	88138045
PSC	0	hmp3_LH74	73189573	1037133	346788	1003233	352225	145813	1.6	13532	0	0	46267323
PSC	0	hmp3_LH82	36942253	1634695	329302	1454749	472369	193022	0.8	15648	0	0	81884469
PSC	0	hmp3_LH85	19857339	645721	59144	495242	200141	60964	0.3	21622	0	0	100369001
PSC	0	hmp3_Mo17	71972675	7824824	5639071	9438275	3735450	1379859	8.4	701042	0	0	34118643
PSC	0	hmp3_Oh43	73630790	7540881	4718421	8584547	3429402	1234541	4.5	523664	0	0	33816037
PSC	0	hmp3_PH207	22050625	475135	39599	364300	143113	45124	0.3	2339	0	0	98382455
PSC	0	hmp3_PHG35	42021136	1875465	337667	1605329	573024	185108	0.8	19336	0	0	76566739
PSC	0	hmp3_PHG39	32900957	843284	120271	697402	251253	85215	0.5	3081	0	0	87041088
PSC	0	hmp3_PHG47	30871306	870743	85639	676229	265538	89331	0.4	2722	0	0	89073853
PSC	0	hmp3_PHG72	33649634	1074994	146543	876388	325786	109642	0.5	9179	0	0	86008781
PSC	0	hmp3_PHJ40	11536012	128007	7436	101146	32310	11106	0.1	389	0	0	109311796
PSC	0	hmp3_PHP02	33391729	809416	261282	740874	315577	94740	0.5	35255	0	0	86433873
PSC	0	hmp3_W22	74935833	7569764	5497903	9163029	3612914	1369881	9.1	624571	0	0	31559275
